[1427207238.884053] RMnode-0 | created with id 0

[1427207241.112151] RMnode-0 | created with id 0

[1427207258.451343] RMnode-0 | [1] [WK-1] ;Load:0.000000; Stat:0 assigned job {u'load': 0.75776896975499997, u'jid': 3, u'name': u'gen-jobs-3', u'RM_assigned': 0, u'__class__': u'Job', u'duration': 56, u'GS_assignee': 0}

[1427207296.359035] RMnode-0 | [3] [WK-3] ;Load:0.000000; Stat:0 assigned job {u'load': 0.76439455058299999, u'jid': 31, u'name': u'gen-jobs-31', u'RM_assigned': 0, u'__class__': u'Job', u'duration': 12, u'GS_assignee': 1}

[1427207308.389935] RMnode-0 | get report from node 3 : {u'load': 0.76439455058299999, u'jid': 31, u'name': u'gen-jobs-31', u'__class__': u'Job', u'RM_assigned': 0, u'duration': 12, u'GS_assignee': 1}

[1427207314.517021] RMnode-0 | get report from node 1 : {u'load': 0.75776896975499997, u'jid': 3, u'name': u'gen-jobs-3', u'__class__': u'Job', u'RM_assigned': 0, u'duration': 56, u'GS_assignee': 0}

[1427207317.162066] RMnode-0 | [0] [WK-0] ;Load:0.000000; Stat:0 assigned job {u'load': 0.34685739073799998, u'jid': 47, u'name': u'gen-jobs-47', u'RM_assigned': 0, u'__class__': u'Job', u'duration': 22, u'GS_assignee': 1}

[1427207339.192860] RMnode-0 | get report from node 0 : {u'load': 0.34685739073799998, u'jid': 47, u'name': u'gen-jobs-47', u'__class__': u'Job', u'RM_assigned': 0, u'duration': 22, u'GS_assignee': 1}

[1427207342.016666] RMnode-0 | [0] [WK-0] ;Load:0.000000; Stat:0 assigned job {u'load': 0.71648435295299995, u'jid': 65, u'name': u'gen-jobs-65', u'RM_assigned': 0, u'__class__': u'Job', u'duration': 56, u'GS_assignee': 0}

[1427207398.080565] RMnode-0 | get report from node 0 : {u'load': 0.71648435295299995, u'jid': 65, u'name': u'gen-jobs-65', u'__class__': u'Job', u'RM_assigned': 0, u'duration': 56, u'GS_assignee': 0}

